Date,Open,High,Low,Close,Adj Close,Volume,Signal
2023-02-28,36.939999,37.259998,33.700001,33.700001,33.645958,43307300,-1
2023-03-01,33.27,33.959999,31.440001,33.380001,33.326473,42641800,-1
2023-03-02,33.650002,35.330002,33.5,33.959999,33.90554,30384000,1
2023-03-03,34.23,35.119999,33.82,34.709999,34.654339,15490400,1
2023-03-06,34.599998,34.939999,33.689999,34.630001,34.574467,10023800,-1
2023-03-07,34.630001,34.790001,32.619999,33.59,33.536137,15378500,-1
2023-03-08,33.59,34.950001,33.279999,34.470001,34.414726,14658100,1
2023-03-09,34.380001,34.529999,33.299999,33.43,33.376392,16019300,0
2023-03-10,33.139999,33.5,32.799999,33.209999,33.156742,17321800,0
2023-03-13,32.060001,32.709999,31.450001,31.77,31.719053,20355100,1
2023-03-14,31.700001,32.880001,31.67,32.209999,32.158348,12908700,1
2023-03-15,31.799999,31.799999,30.26,31.15,31.100048,16944100,1
2023-03-16,31.190001,31.99,30.5,31.700001,31.649166,26033300,1
2023-03-17,31.469999,31.83,31.049999,31.370001,31.319696,16423300,1
2023-03-20,31.299999,31.73,30.68,30.99,30.940304,8131500,1
2023-03-21,31.16,31.889999,31.049999,31.719999,31.669132,9956600,-1
2023-03-22,31.860001,32.189999,31.1,31.35,31.299726,9634700,-1
2023-03-23,31.530001,31.73,29.35,29.93,29.882004,13121700,1
2023-03-24,29.639999,30.440001,29.01,30.280001,30.231443,11911200,1
2023-03-27,31.030001,31.82,30.639999,31.620001,31.569294,10306500,0
2023-03-28,31.639999,32.200001,31.139999,31.879999,31.828876,11262600,0
2023-03-29,32.25,32.740002,31.209999,31.940001,31.888781,9287800,0
2023-03-30,32.48,32.799999,32.02,32.349998,32.298122,6989500,-1
2023-03-31,32.419998,32.5,31.16,31.190001,31.139984,10983400,-1
2023-04-03,32.599998,33.240002,32.150002,32.400002,32.348045,21657400,1
2023-04-04,34.299999,34.529999,32.860001,33.849998,33.795715,35100800,1
2023-04-05,33.5,33.889999,32.470001,33.5,33.446278,15729300,1
2023-04-06,33.84,35.130001,33.669998,34.860001,34.8041,18911700,1
2023-04-10,34.91,35.220001,34.599998,34.919998,34.864002,6769000,-1
2023-04-11,35.200001,35.849998,34.84,35.73,35.672703,13617500,-1
2023-04-12,36.0,37.09,35.919998,36.43,36.371582,12343500,-1
2023-04-13,36.5,37.18,36.400002,36.509998,36.45145,11819500,-1
2023-04-14,36.419998,36.98,36.110001,36.68,36.621181,7327000,-1
2023-04-17,36.639999,36.799999,35.93,36.150002,36.09203,9819100,-1
2023-04-18,36.299999,36.299999,35.049999,35.299999,35.243393,15123600,1
2023-04-19,34.860001,35.0,33.759998,34.299999,34.244995,17377700,-1
2023-04-20,34.049999,34.639999,33.82,34.0,33.945477,8305500,-1
2023-04-24,34.099998,35.34,34.0,35.029999,34.973824,10166000,-1
2023-04-25,35.200001,35.650002,34.360001,34.650002,34.594437,9599800,-1
2023-04-26,34.869999,35.200001,33.389999,33.5,33.446278,10958500,-1
2023-04-27,33.799999,33.869999,33.16,33.639999,33.586056,10873000,-1
2023-04-28,33.639999,35.07,33.509998,34.75,34.694275,9144700,1
2023-05-02,34.549999,34.610001,32.860001,33.52,33.466248,9324500,1
2023-05-03,33.57,34.380001,33.009998,34.099998,34.045315,10921100,1
2023-05-04,34.400002,34.630001,32.349998,32.700001,32.647564,25141500,1
2023-05-05,33.52,34.360001,33.419998,34.290001,34.235012,14164600,-1
2023-05-08,34.82,35.169998,34.419998,34.509998,34.454659,13685800,1
2023-05-09,34.470001,34.950001,33.73,34.610001,34.554501,8897500,1
2023-05-10,34.700001,34.830002,34.119999,34.650002,34.594437,5711700,1
2023-05-11,34.439999,35.060001,33.939999,34.82,34.764164,10690300,1
2023-05-12,34.619999,35.139999,34.299999,34.5,34.444675,6304500,1
2023-05-15,34.610001,34.970001,34.41,34.470001,34.414726,4978300,1
2023-05-16,34.5,35.09,34.27,34.5,34.444675,7904500,1
2023-05-17,34.889999,36.5,34.790001,36.5,36.441467,17146000,1
2023-05-18,36.41,36.490002,35.610001,36.349998,36.291706,11109800,1
2023-05-19,36.98,37.34,36.57,36.970001,36.910717,14382000,-1
2023-05-22,36.98,37.32,35.98,36.189999,36.131966,10090600,1
2023-05-23,36.400002,36.75,36.02,36.16,36.102013,9027300,1
2023-05-24,36.209999,36.799999,35.830002,35.950001,35.892353,12015900,1
2023-05-25,36.25,36.349998,35.209999,35.630001,35.572865,34448400,1
2023-05-26,36.09,36.34,35.18,35.349998,35.293312,8857100,1
2023-05-29,35.27,35.540001,35.049999,35.119999,35.063679,8954200,1
2023-05-30,35.150002,35.41,33.580002,34.130001,34.075272,20366700,1
2023-05-31,33.549999,34.27,33.349998,34.189999,34.13517,15159800,1
2023-06-01,34.290001,34.540001,33.68,34.169998,34.115204,14431900,1
2023-06-02,34.900002,35.509998,34.830002,35.32,35.263359,11518200,1
2023-06-05,35.91,35.919998,34.689999,35.349998,35.293312,7563300,1
2023-06-06,34.900002,34.959999,34.02,34.279999,34.225029,22034200,1
2023-06-07,34.599998,35.130001,34.279999,34.790001,34.734211,21854500,1
2023-06-09,34.970001,35.200001,34.259998,34.48,34.424706,12165000,1
2023-06-12,34.400002,34.400002,32.91,33.139999,33.086857,18808400,-1
2023-06-13,33.610001,34.43,33.41,34.34,34.284931,13938100,-1
2023-06-14,34.490002,35.400002,34.27,35.400002,35.343235,15754400,1
2023-06-15,35.400002,35.75,35.169998,35.599998,35.542912,6620000,1
2023-06-16,35.560001,36.369999,35.16,36.27,36.211838,13591000,1
2023-06-19,36.34,36.450001,35.689999,36.060001,36.002174,6198700,1
2023-06-20,35.950001,36.220001,35.049999,36.16,36.102013,8738100,1
2023-06-21,36.150002,38.77,36.049999,38.669998,38.607986,21124200,-1
2023-06-22,38.009998,38.369999,37.43,38.299999,38.238583,11662700,-1
2023-06-23,37.959999,38.27,37.23,38.209999,38.148724,9901400,-1
2023-06-26,38.209999,38.549999,37.040001,37.040001,36.980602,12719200,1
2023-06-27,37.0,37.049999,35.150002,35.799999,35.742592,19635600,1
2023-06-28,35.759998,36.52,35.630001,36.139999,36.082047,6895900,1
2023-06-29,36.200001,36.5,35.959999,36.290001,36.231808,5323900,1
2023-06-30,36.5,37.740002,36.5,37.080002,37.020538,11809500,1
2023-07-03,37.450001,38.66,37.400002,37.419998,37.359993,14497700,1
2023-07-04,37.759998,38.529999,37.75,38.040001,37.979,9215200,1
2023-07-05,38.610001,39.18,38.509998,38.619999,38.558067,10309400,1
2023-07-06,38.450001,38.779999,37.889999,38.150002,38.088825,6885400,1
2023-07-07,38.099998,39.709999,38.099998,39.349998,39.286896,10665300,1
2023-07-10,39.27,39.900002,39.209999,39.490002,39.426674,7067400,1
2023-07-11,39.709999,41.009998,39.099998,40.700001,40.634735,13946500,1
2023-07-12,41.060001,41.799999,40.740002,41.549999,41.483368,14274800,1
2023-07-13,41.599998,43.400002,41.599998,42.889999,42.82122,16362200,0
2023-07-14,42.73,43.049999,41.18,41.52,41.453419,14455600,0
2023-07-17,40.970001,42.099998,40.639999,41.990002,41.922665,7360300,0
2023-07-18,43.0,43.560001,42.310001,43.18,43.110756,12552800,0
2023-07-19,43.360001,44.189999,43.220001,44.139999,44.069218,13257700,0
2023-07-20,44.400002,44.540001,44.049999,44.200001,44.12912,7210900,-1
2023-07-21,44.610001,45.5,44.48,45.169998,45.097565,12935100,-1
2023-07-24,45.580002,46.169998,45.259998,46.169998,46.095959,7885700,-1
2023-07-25,46.209999,46.48,44.82,44.959999,44.887901,12370700,0
2023-07-26,44.439999,45.669998,44.080002,45.59,45.516891,17279800,1
2023-07-27,46.07,46.459999,44.900002,45.09,45.017693,5413400,1
2023-07-28,45.360001,45.889999,44.700001,45.16,45.087582,5676300,-1
2023-07-31,45.799999,46.560001,45.200001,45.619999,45.546841,6603300,-1
2023-08-01,45.27,46.139999,44.93,45.799999,45.726555,6971600,-1
2023-08-02,45.889999,45.950001,44.75,45.25,45.177437,8665900,1
2023-08-03,46.299999,47.400002,46.220001,47.16,47.084373,12114900,-1
2023-08-04,46.900002,49.060001,46.900002,47.57,47.493717,11778500,-1
2023-08-07,47.5,48.200001,46.919998,47.810001,47.733334,6805300,-1
2023-08-08,47.0,47.970001,46.639999,47.860001,47.783253,5499100,-1
2023-08-09,48.360001,48.630001,47.68,48.119999,48.042835,5830000,1
2023-08-10,48.200001,48.549999,46.959999,47.380001,47.304024,6333100,-1
2023-08-11,47.779999,48.650002,47.669998,48.360001,48.282452,14754200,-1
2023-08-14,48.34,48.639999,47.75,48.59,48.512081,5984100,-1
2023-08-15,47.900002,48.0,45.91,46.82,46.744919,14084400,-1
2023-08-16,47.07,47.549999,45.82,45.98,45.906265,9442000,-1
2023-08-17,46.740002,46.990002,45.139999,45.380001,45.307228,8251500,-1
